koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,koi_kepmag
CONFIRMED,1,0,0,0,0,3.04033046,169.9490106,0.736,1.8411,10859,8.99,1021,257.29,568.2,1,q1_q17_dr25_tce,5035,4.519,0.791,15.028
CONFIRMED,1,0,0,0,0,15.33528675,174.00278,0.773,3.897,3081.4,5,610,32.67,86.6,2,q1_q17_dr25_tce,5251,4.581,0.817,15.855
CONFIRMED,0.998,0,0,0,0,7.95825328,137.80219,0.706,4.377,50,1.06,1074,314.15,14.7,4,q1_q17_dr25_tce,5847,4.191,1.402,12.487
CONFIRMED,1,0,0,0,0,31.33046135,153.43031,0.798,5.176,5073.8,6.5,481,12.61,117.2,1,q1_q17_dr25_tce,5251,4.581,0.817,15.855
FALSE POSITIVE,0.006,0,1,0,0,3.9043425,173.393734,0.709,3.831,16228,12.28,1104,351.05,323.4,1,q1_q17_dr25_tce,5810,4.526,0.898,15.016
FALSE POSITIVE,0,0,1,0,0,9.286358079,171.8214689,0.377,3.49949,44791,17.61,796,95.03,1671.1,1,q1_q17_dr25_tce,5670,4.523,0.821,15.365
FALSE POSITIVE,0,0,1,0,0,3.951405455,173.276125,1.276,2.1862,2453.9,31.44,1133,388.71,117.2,1,q1_q17_dr25_tce,6046,4.539,0.869,15.446
CONFIRMED,0.999,0,0,0,0,23.65369415,171.376107,0.008,8.2183,3341.8,7.89,731,67.65,266.3,1,q1_q17_dr25_tce,5739,4.191,1.384,15.084
CONFIRMED,0.996,0,0,0,0,13.23352214,140.32196,0.014,6.7372,504.6,3.06,888,146.67,49.1,2,q1_q17_dr25_tce,5739,4.191,1.384,15.084
CONFIRMED,0.997,0,0,0,0,6.15560285,134.81656,0.235,4.9843,285,2.32,1146,406.94,35.1,3,q1_q17_dr25_tce,5739,4.191,1.384,15.084
CONFIRMED,1,0,0,0,0,2.090811305,134.17462,0.746,3.388,115.9,1.62,1642,1718.04,19.9,5,q1_q17_dr25_tce,5739,4.191,1.384,15.084
CONFIRMED,0.995,0,0,0,0,3.180027898,133.49863,0.196,3.5797,120.3,1.53,1458,1066.86,50.4,2,q1_q17_dr25_tce,5847,4.191,1.402,12.487
CONFIRMED,0.989,0,0,0,0,50.4467417,178.5014,0.379,7.159,370.3,2.67,568,24.64,19.4,4,q1_q17_dr25_tce,5739,4.191,1.384,15.084
CONFIRMED,1,0,0,0,0,11.76307164,180.93613,0.048,2.9076,1037.3,2.35,616,33.99,48.9,1,q1_q17_dr25_tce,4959,4.603,0.756,15.208
CONFIRMED,0.878,0,0,0,0,56.2279271,132.29259,0.7,3.57,862.7,2.37,366,4.22,20.9,2,q1_q17_dr25_tce,4959,4.603,0.756,15.208
FALSE POSITIVE,0,0,1,1,1,2.384052875,171.58362,1.178,3.0918,1268.1,17.06,1010,244.87,50.5,1,q1_q17_dr25_tce,4794,4.58,0.701,15.836
CONFIRMED,1,0,0,0,0,7.953547,174.66224,0.3,2.6312,875.4,2.25,696,55.37,38.4,1,q1_q17_dr25_tce,4768,4.536,0.779,15.66
CONFIRMED,1,0,0,0,0,4.14451656,135.92831,0.004,2.3421,391.8,1.48,864,132.08,22.8,2,q1_q17_dr25_tce,4768,4.536,0.779,15.66
FALSE POSITIVE,0,0,1,0,0,4.859386384,173.011469,1.259,2.2757,6044.3,38.33,1114,364.23,269.7,1,q1_q17_dr25_tce,6072,4.47,0.988,15.311
CONFIRMED,0.999,0,0,0,0,10.52629458,176.522462,0.644,2.5211,9768,8.24,713,61.16,482.3,1,q1_q17_dr25_tce,5386,4.553,0.793,15.305
CONFIRMED,1,0,0,0,0,4.583520948,169.973972,0.045,2.7055,3812.1,5.39,1038,274.98,99.5,1,q1_q17_dr25_tce,5815,4.54,0.877,15.287
CONFIRMED,0.876,0,0,0,0,3.76181843,171.90364,0.926,3.5176,510.6,2.66,1121,372.62,35.9,1,q1_q17_dr25_tce,5653,4.472,0.949,15.257
CONFIRMED,1,0,0,0,0,8.20396958,169.69138,0.823,2.9667,1024.4,3.01,742,71.5,54.4,1,q1_q17_dr25_tce,5015,4.499,0.826,15.376
